,Stock,User,Comment,Comment Time
2258,IZENR,Seko Pasa,bir forunds kufur varsa o hisse gitmez. cunku kahveci memet efendi ve muridleri buradadir demektir. i̇z bilmez lisan bilmezler.,2 saat önce
2259,IZENR,Jack Mctorrado,peyder pey alan kaybetmez iki gunde zengin olacam diye tepe fiyattan tum parayi basarsan 8 ay beklersin oyle,2 saat önce
2260,IZENR,Seko Pasa,baki bekleyecekte maliyeti gelecek sonra birde biz verecegiz kucagina. sonra kim kime koyuyor gorecek puhahahah,2 saat önce
2261,IZENR,Seko Pasa,baki sana yukardan iyi kitlemisler benim 24 kademem var ve ortalama dusurmeme gerek yok. yukari geldiginde butun malimi senin gibi k.zalaklar alacak. ytd.,2 saat önce
2262,IZENR,Baki Teke,burda algi yapanin dalga geceneni. anasini bacisini karisini …. gidin burdan. kiz bacimiza cocuk yaparim,2 saat önce
2263,IZENR,Jack Mctorrado,enerjide haftalik grafikte dolar gapini aldi,2 saat önce
2264,IZENR,Baki Teke,seko nasil koydular sanada millet lale dalga gec sen daha,2 saat önce
2265,IZENR,Saygı Değer,anlasilan secim oncesi herkesin eline verecekler. 31 marta kadar ekrana bakmanin anlami yok,2 saat önce
2266,IZENR,Jack Mctorrado,olum saf miyiz senin gibi butun parayi tek fiyattan basalim bu iste kademe yapmayi ogren.,2 saat önce
2267,IZENR,Aytunç Tayfur,dussun eklerim diyen tiplere hastayim ya:)) gercekten m*alsiniz ya:) neyse ben susuyorum kim ne yapiyorsa yapsin ama biz bittik bu o.e bizi mahvetti,2 saat önce
2268,IZENR,Aykut Zafer,"izenerji arz fiyatina adim adim yaklasiyor.normali zaten bu.sonrasinda ne olur bilinmez ancak arz fiyatindan alip kenara atan asla zarar etmez.50,60,70lerden bu hisseye girmis olanlar yok be arkadas harbi umit yok.ederi en fazla40 olur oda 6ay sonra.",2 saat önce
2269,IZENR,Jack Mctorrado,oooo eklerim her turlu,2 saat önce
2270,IZENR,Seko Pasa,22 lerde bi alim daha yaparim belki ytd.,3 saat önce
2271,IZENR,Aytunç Tayfur,hic yukselmeyen kagit yapmislar:)),3 saat önce
2272,IZENR,su tesisatcısı,endeksle dusup endeksle cikmiyorsun...ytd,3 saat önce
2273,IZENR,yusuf kuş,yunan tohumu olsa bu kadar zulmetmez a.mk sen ne dolusun 80 den 29 a,3 saat önce
2274,IZENR,Seko Pasa,hem almayin hem satmayin diyorlar. tam k.zalak topluluk ya,3 saat önce
